UKBID,everCpDK_count,everCpDC_count,detectedK_UKBID,detectedC_UKBID,detectedCK_UKBID
P23193,6.0,1.0,True,True,True
P23246,2.0,1.0,True,True,True
P23284,13.0,1.0,True,True,True
P23368,4.0,4.0,True,True,True
P23381,8.0,4.0,True,True,True
P23396,14.0,3.0,True,True,True
P23434,1.0,2.0,True,True,True
P23526,4.0,4.0,True,True,True
P23528,15.0,4.0,True,True,True
P23588,1.0,1.0,True,True,True
P23610,1.0,2.0,True,True,True
P23919,8.0,3.0,True,True,True
P23921,3.0,5.0,True,True,True
P24043,1.0,0.0,True,False,False
P24534,7.0,3.0,True,True,True
P24666,3.0,3.0,True,True,True
P24752,11.0,5.0,True,True,True
P24844,2.0,1.0,True,True,True
P24941,3.0,1.0,True,True,True
P25205,9.0,8.0,True,True,True
P25208,1.0,1.0,True,True,True
P25325,1.0,1.0,True,True,True
P25398,4.0,6.0,True,True,True
P25440,1.0,0.0,True,False,False
P25685,1.0,1.0,True,True,True
P25705,7.0,2.0,True,True,True
P25786,9.0,3.0,True,True,True
P25787,5.0,1.0,True,True,True
P25788,5.0,1.0,True,True,True
P25789,7.0,5.0,True,True,True
P26006,1.0,0.0,True,False,False
P26038,17.0,2.0,True,True,True
P26196,4.0,1.0,True,True,True
P26358,4.0,7.0,True,True,True
P26368,4.0,3.0,True,True,True
P26373,4.0,0.0,True,False,False
P26447,6.0,3.0,True,True,True
P26583,12.0,1.0,True,True,True
P26599,15.0,3.0,True,True,True
P26639,11.0,2.0,True,True,True
P26641,16.0,5.0,True,True,True
P26885,6.0,0.0,True,False,False
P27144,8.0,2.0,True,True,True
P27348,11.0,4.0,True,True,True
P27635,13.0,4.0,True,True,True
P27694,4.0,5.0,True,True,True
P27695,6.0,4.0,True,True,True
P27708,2.0,12.0,True,True,True
P27797,9.0,3.0,True,True,True
P27816,11.0,7.0,True,True,True
P27824,2.0,1.0,True,True,True
P28065,1.0,1.0,True,True,True
P28066,4.0,1.0,True,True,True
P28070,2.0,0.0,True,False,False
P28074,2.0,1.0,True,True,True
P28288,1.0,1.0,True,True,True
P28340,1.0,5.0,True,True,True
P28482,3.0,3.0,True,True,True
P28676,2.0,0.0,True,False,False
P28702,1.0,1.0,True,True,True
P28799,2.0,1.0,True,True,True
P28838,4.0,6.0,True,True,True
P29218,1.0,0.0,True,False,False
P29401,13.0,7.0,True,True,True
P29558,1.0,0.0,True,False,False
P29692,9.0,2.0,True,True,True
P29966,2.0,0.0,True,False,False
P30038,1.0,0.0,True,False,False
P30040,11.0,1.0,True,True,True
P30041,7.0,2.0,True,True,True
P30043,2.0,0.0,True,False,False
P30044,6.0,2.0,True,True,True
P30046,4.0,0.0,True,False,False
P30048,8.0,3.0,True,True,True
P30050,5.0,2.0,True,True,True
P30084,5.0,5.0,True,True,True
P30086,8.0,2.0,True,True,True
P30101,18.0,7.0,True,True,True
P30153,4.0,8.0,True,True,True
P30405,12.0,3.0,True,True,True
P30419,4.0,0.0,True,False,False
P30519,3.0,2.0,True,True,True
P30520,2.0,2.0,True,True,True
P30533,12.0,0.0,True,False,False
P30566,2.0,4.0,True,True,True
P30613,1.0,0.0,True,False,False
P30622,3.0,1.0,True,True,True
P30626,4.0,3.0,True,True,True
P30740,3.0,1.0,True,True,True
P30837,2.0,4.0,True,True,True
P30876,1.0,3.0,True,True,True
P31040,3.0,5.0,True,True,True
P31146,6.0,8.0,True,True,True
P31150,2.0,2.0,True,True,True
P31153,5.0,5.0,True,True,True
P31323,1.0,4.0,True,True,True
P31350,3.0,2.0,True,True,True
P31689,9.0,1.0,True,True,True
P31749,3.0,1.0,True,True,True
P31751,1.0,3.0,True,True,True
P31937,3.0,4.0,True,True,True
P31939,4.0,6.0,True,True,True
P31943,5.0,5.0,True,True,True
P31946,15.0,1.0,True,True,True
P31947,6.0,2.0,True,True,True
P31948,27.0,5.0,True,True,True
P31949,6.0,2.0,True,True,True
P32119,8.0,2.0,True,True,True
P32320,4.0,5.0,True,True,True
P32321,5.0,2.0,True,True,True
P32322,5.0,4.0,True,True,True
P32455,3.0,0.0,True,False,False
P32780,3.0,1.0,True,True,True
P32969,7.0,2.0,True,True,True
P33151,1.0,0.0,True,False,False
P33176,3.0,1.0,True,True,True
P33240,2.0,2.0,True,True,True
P33241,1.0,0.0,True,False,False
P33316,4.0,2.0,True,True,True
P33552,2.0,0.0,True,False,False
P33991,4.0,4.0,True,True,True
P33992,7.0,6.0,True,True,True
P33993,3.0,3.0,True,True,True
P34896,3.0,2.0,True,True,True
P34897,5.0,5.0,True,True,True
P34932,8.0,7.0,True,True,True
P35221,3.0,0.0,True,False,False
P35237,1.0,3.0,True,True,True
P35241,5.0,1.0,True,True,True
P35244,3.0,2.0,True,True,True
P35250,7.0,3.0,True,True,True
P35268,2.0,1.0,True,True,True
P35269,2.0,1.0,True,True,True
P35270,1.0,2.0,True,True,True
P35568,1.0,1.0,True,True,True
P35579,42.0,14.0,True,True,True
P35580,2.0,4.0,True,True,True
P35606,3.0,1.0,True,True,True
P35611,1.0,3.0,True,True,True
P35637,2.0,1.0,True,True,True
P35658,3.0,4.0,True,True,True
P35659,4.0,2.0,True,True,True
P35754,3.0,4.0,True,True,True
P35914,1.0,2.0,True,True,True
P35998,7.0,4.0,True,True,True
P36405,5.0,2.0,True,True,True
P36507,3.0,2.0,True,True,True
P36542,1.0,1.0,True,True,True
P36543,3.0,0.0,True,False,False
P36551,6.0,4.0,True,True,True
P36578,10.0,4.0,True,True,True
P36639,1.0,0.0,True,False,False
P36776,2.0,4.0,True,True,True
P36871,6.0,2.0,True,True,True
